Date,Tasa de Inflación
1996-01-01,27.7
1997-01-01,15.72
1998-01-01,18.61
1999-01-01,12.32
2000-01-01,8.96
2001-01-01,4.4
2002-01-01,5.7
2003-01-01,3.98
2004-01-01,5.19
2005-01-01,3.33
2006-01-01,4.05
2007-01-01,3.76
2008-01-01,6.53
2009-01-01,3.57
2010-01-01,4.4
2011-01-01,3.82
2012-01-01,3.57
2013-01-01,3.97
2014-01-01,4.08
2015-01-01,2.13
2016-01-01,3.36
2017-01-01,6.77
2018-01-01,4.83
2019-01-01,2.83
2020-01-01,3.15
2021-01-01,7.36
2022-01-01,7.82
2023-01-01,4.66
2024-01-01,5.57
